,First_pokemon,Second_pokemon,Winner
4774,Cobalion,Volcanion,Cobalion
4775,Wynaut,Heatran,Heatran
4776,Ekans,Baltoy,Baltoy
4777,Pansage,Moltres,Moltres
4778,Mew,Staryu,Mew
4779,Miltank,Helioptile,Miltank
4780,Phanpy,Magnemite,Magnemite
4781,Magnemite,Rattata,Rattata
4782,Kabuto,Frillish,Kabuto
4783,Rotom,Bronzor,Rotom
4784,Meditite,Heatran,Heatran
4785,Mesprit,Carbink,Mesprit
4786,Spinarak,Victini,Victini
4787,Regirock,Chikorita,Regirock
4788,Uxie,Skorupi,Uxie
4789,Ledyba,Manaphy,Manaphy
4790,Corphish,Miltank,Miltank
4791,Skitty,Aipom,Aipom
4792,Riolu,Shuckle,Riolu
4793,Frillish,Azelf,Azelf
4794,Mew,Phione,Mew
4795,Pansear,Carbink,Pansear
4796,Cottonee,Durant,Durant
4797,Natu,Delibird,Delibird
4798,Castform,Spinarak,Castform
4799,Audino,Vanillite,Audino
4800,Palkia,Miltank,Miltank
4801,Magby,Axew,Magby
4802,Eevee,Tirtouga,Eevee
4803,Tympole,Mienfoo,Mienfoo
4804,Shuckle,Munchlax,Munchlax
4805,Goomy,Ho-oh,Ho-oh
4806,Surskit,Throh,Surskit
4807,Geodude,Registeel,Registeel
4808,Regice,Lapras,Lapras
4809,Swinub,Electrike,Electrike
4810,Snivy,Mawile,Snivy
4811,Timburr,Tyrunt,Tyrunt
4812,Snubbull,Snover,Snover
4813,Combee,Girafarig,Girafarig
4814,Froakie,Oshawott,Froakie
4815,Slugma,Elekid,Elekid
4816,Celebi,Bergmite,Celebi
4817,Pawniard,Stunfisk,Pawniard
4818,Gligar,Feebas,Gligar
4819,Stantler,Meditite,Stantler
4820,Mienfoo,Emolga,Emolga
4821,Ledyba,Murkrow,Murkrow
4822,Skitty,Tropius,Tropius
4823,Roggenrola,Emolga,Emolga
4824,Solosis,Honedge,Honedge
4825,Snorunt,Pichu,Pichu
4826,Meowth,Ducklett,Meowth
4827,Trubbish,Doduo,Doduo
4828,Carnivine,Seviper,Seviper
4829,Piplup,Sewaddle,Sewaddle
4830,Tropius,Uxie,Uxie
4831,Elgyem,Seel,Seel
4832,Lickitung,Squirtle,Squirtle
4833,Wailmer,Audino,Wailmer
4834,Lillipup,Wurmple,Lillipup
4835,Cobalion,Lunatone,Cobalion
4836,Growlithe,Skrelp,Growlithe
4837,Seviper,Frillish,Frillish
4838,Snorunt,Elgyem,Snorunt
4839,Bulbasaur,Girafarig,Girafarig
4840,Clamperl,Rufflet,Rufflet
4841,Meditite,Zekrom,Zekrom
4842,Mareep,Lickitung,Mareep
4843,Rhyhorn,Tympole,Tympole
4844,Teddiursa,Pawniard,Pawniard
4845,Diancie,Totodile,Diancie
4846,Corsola,Electrike,Electrike
4847,Whismur,Girafarig,Girafarig
4848,Genesect,Fletchling,Genesect
4849,Pineco,Gible,Gible
4850,Axew,Goldeen,Goldeen
4851,Oddish,Yanma,Yanma
4852,Lickitung,Wingull,Lickitung
4853,Gulpin,Natu,Natu
4854,Noibat,Timburr,Noibat
4855,Bellsprout,Cryogonal,Cryogonal
4856,Genesect,Litleo,Genesect
4857,Mewtwo,Rhyhorn,Mewtwo
4858,Petilil,Alomomola,Alomomola
4859,Rhyhorn,Tynamo,Rhyhorn
4860,Stunfisk,Kyogre,Kyogre
4861,Aron,Darumaka,Darumaka
4862,Shuppet,Zapdos,Zapdos
4863,Charmander,Skarmory,Skarmory
4864,Spoink,Tepig,Spoink
4865,Yamask,Bouffalant,Bouffalant
4866,Chimchar,Miltank,Miltank
4867,Tympole,Karrablast,Tympole
4868,Chinchou,Growlithe,Chinchou
4869,Pineco,Cyndaquil,Cyndaquil
4870,Finneon,Amaura,Finneon
4871,Azurill,Absol,Absol
4872,Krabby,Skiddo,Skiddo
4873,Turtwig,Bulbasaur,Bulbasaur
4874,Tyrunt,Hoothoot,Hoothoot
4875,Whismur,Regirock,Regirock
4876,Chespin,Cyndaquil,Cyndaquil
4877,Rotom,Karrablast,Karrablast
4878,Kangaskhan,Carbink,Kangaskhan
4879,Pidove,Phanpy,Pidove
4880,Petilil,Tangela,Tangela
4881,Venonat,Wailmer,Wailmer
4882,Snivy,Heatran,Heatran
4883,Tentacool,Litwick,Tentacool
4884,Wingull,Dialga,Dialga
4885,Mareep,Latias,Latias
4886,Mantyke,Kyurem,Kyurem
4887,Cottonee,Azelf,Azelf
4888,Magby,Foongus,Magby
4889,Sandile,Squirtle,Sandile
4890,Roggenrola,Wingull,Roggenrola
4891,Murkrow,Axew,Murkrow
4892,Cranidos,Wynaut,Cranidos
4893,Sableye,Onix,Onix
4894,Exeggcute,Jirachi,Jirachi
4895,Sawk,Machop,Sawk
4896,Growlithe,Spinda,Spinda
4897,Vullaby,Aipom,Aipom
4898,Zubat,Castform,Castform
4899,Carvanha,Sentret,Carvanha
4900,Goldeen,Cleffa,Goldeen
4901,Treecko,Pineco,Pineco
4902,Swinub,Pansage,Pansage
4903,Phanpy,Beldum,Phanpy
4904,Buizel,Klink,Buizel
4905,Bagon,Croagunk,Croagunk
4906,Tyrogue,Delibird,Delibird
4907,Wurmple,Kecleon,Kecleon
4908,Pichu,Doduo,Doduo
4909,Tynamo,Purrloin,Purrloin
4910,Buizel,Klink,Buizel
4911,Makuhita,Meowth,Makuhita
4912,Sunkern,Groudon,Groudon
4913,Mudkip,Lotad,Mudkip
4914,Sawk,Chespin,Sawk
4915,Ho-oh,Happiny,Ho-oh
4916,Vullaby,Aipom,Aipom
4917,Golett,Durant,Durant
4918,Scraggy,Celebi,Scraggy
4919,Buneary,Barboach,Buneary
4920,Durant,Kyogre,Durant
4921,Aron,Snubbull,Snubbull
4922,Sentret,Cobalion,Cobalion
4923,Shinx,Cyndaquil,Cyndaquil
4924,Nincada,Raikou,Raikou
4925,Bouffalant,Bonsly,Bouffalant
4926,Klink,Dialga,Dialga
4927,Baltoy,Corsola,Baltoy
4928,Minccino,Electrike,Minccino
4929,Croagunk,Blitzle,Blitzle
4930,Omanyte,Corsola,Corsola
4931,Terrakion,Diglett,Terrakion
4932,Shroomish,Sewaddle,Sewaddle
4933,Shuppet,Vanillite,Shuppet
4934,Omanyte,Torkoal,Omanyte
4935,Cyndaquil,Ducklett,Cyndaquil
4936,Axew,Zorua,Zorua
4937,Treecko,Eevee,Treecko
4938,Kyogre,Riolu,Kyogre
4939,Mudkip,Krabby,Krabby
4940,Squirtle,Geodude,Squirtle
4941,Amaura,Tentacool,Tentacool
4942,Mewtwo,Chingling,Mewtwo
4943,Ponyta,Fletchling,Ponyta
4944,Delibird,Geodude,Delibird
4945,Oshawott,Mewtwo,Mewtwo
4946,Pichu,Litwick,Pichu
4947,Abra,Spiritomb,Spiritomb
4948,Tirtouga,Honedge,Honedge
4949,Noibat,Drilbur,Noibat
4950,Druddigon,Relicanth,Relicanth
4951,Buneary,Purrloin,Buneary
4952,Drifloon,Cryogonal,Cryogonal
4953,Rattata,Zorua,Rattata
4954,Riolu,Phanpy,Phanpy
4955,Heatmor,Houndour,Houndour
4956,Drowzee,Espurr,Espurr
4957,Shieldon,Drifloon,Drifloon
4958,Wingull,Latias,Latias
4959,Pidgey,Articuno,Articuno
4960,Combee,Clauncher,Combee
4961,Combee,Zapdos,Zapdos
4962,Entei,Misdreavus,Entei
4963,Cherubi,Cranidos,Cranidos
4964,Tympole,Sneasel,Sneasel
4965,Tirtouga,Exeggcute,Exeggcute
4966,Heatran,Pansage,Heatran
4967,Frillish,Zubat,Zubat
4968,Murkrow,Luvdisc,Luvdisc
4969,Smoochum,Skiddo,Smoochum
4970,Growlithe,Zangoose,Zangoose
4971,Shieldon,Feebas,Shieldon
4972,Goldeen,Amaura,Goldeen
4973,Cubone,Hippopotas,Cubone
4974,Skiddo,Mareep,Skiddo
4975,Solosis,Growlithe,Growlithe
4976,Durant,Zorua,Durant
4977,Lileep,Bronzor,Bronzor
4978,Litwick,Mew,Mew
4979,Purrloin,Stantler,Stantler
4980,Girafarig,Beldum,Girafarig
4981,Uxie,Gothita,Uxie
4982,Pineco,Luvdisc,Pineco
4983,Ralts,Wynaut,Ralts
4984,Kecleon,Shinx,Shinx
4985,Sewaddle,Roggenrola,Roggenrola
4986,Larvitar,Murkrow,Murkrow
4987,Cleffa,Cyndaquil,Cyndaquil
4988,Spinarak,Cresselia,Cresselia
4989,Happiny,Skrelp,Skrelp
4990,Drifloon,Tirtouga,Tirtouga
4991,Shelmet,Cottonee,Shelmet
4992,Timburr,Lugia,Lugia
4993,Scraggy,Yanma,Yanma
4994,Helioptile,Eevee,Helioptile
4995,Goomy,Drowzee,Drowzee
4996,Latios,Emolga,Latios
4997,Charmander,Ho-oh,Ho-oh
4998,Shroomish,Cleffa,Shroomish
4999,Groudon,Patrat,Groudon
5000,Volcanion,Krabby,Volcanion
5001,Bouffalant,Spearow,Spearow
5002,Plusle,Noibat,Plusle
5003,Magikarp,Audino,Audino
5004,Binacle,Diancie,Diancie
5005,Venonat,Wynaut,Venonat
5006,Snubbull,Tympole,Tympole
5007,Dedenne,Carbink,Dedenne
5008,Abra,Larvesta,Larvesta
5009,Staryu,Absol,Staryu
5010,Ducklett,Mewtwo,Mewtwo
5011,Audino,Exeggcute,Audino
5012,Uxie,Magby,Uxie
5013,Drowzee,Anorith,Anorith
5014,Wailmer,Registeel,Wailmer
5015,Buizel,Solrock,Buizel
5016,Wynaut,Wooper,Wynaut
5017,Igglybuff,Minccino,Minccino
5018,Luvdisc,Sneasel,Sneasel
5019,Togepi,Pancham,Pancham
5020,Golett,Gastly,Golett
5021,Karrablast,Rufflet,Rufflet
5022,Remoraid,Phanpy,Remoraid
5023,Ducklett,Seviper,Seviper
5024,Ralts,Pansage,Pansage
5025,Ekans,Solrock,Solrock
5026,Electrike,Honedge,Honedge
5027,Aerodactyl,Bronzor,Aerodactyl
5028,Vanillite,Petilil,Vanillite
5029,Kecleon,Turtwig,Kecleon
5030,Cobalion,Inkay,Cobalion
5031,Frillish,Venipede,Venipede
5032,Mudkip,Cyndaquil,Cyndaquil
5033,Zorua,Murkrow,Murkrow
5034,Larvesta,Bouffalant,Larvesta
5035,Regice,Minun,Minun
5036,Sawk,Tropius,Sawk
5037,Exeggcute,Gligar,Gligar
5038,Mewtwo,Koffing,Mewtwo
5039,Torchic,Clamperl,Torchic
5040,Whismur,Cryogonal,Cryogonal
5041,Carvanha,Honedge,Carvanha
5042,Pachirisu,Snover,Pachirisu
5043,Phantump,Beldum,Phantump
5044,Skarmory,Numel,Skarmory
5045,Dialga,Yanma,Yanma
5046,Zangoose,Diancie,Zangoose
5047,Timburr,Bunnelby,Timburr
5048,Helioptile,Mankey,Mankey
5049,Axew,Kyurem,Kyurem
5050,Swinub,Noibat,Noibat
5051,Illumise,Virizion,Virizion
5052,Minun,Joltik,Minun
5053,Igglybuff,Regice,Regice
5054,Amaura,Bronzor,Amaura
5055,Volbeat,Stantler,Stantler
5056,Lugia,Purrloin,Purrloin
5057,Bagon,Registeel,Registeel
5058,Lileep,Gligar,Gligar
5059,Chikorita,Igglybuff,Chikorita
5060,Sigilyph,Vulpix,Sigilyph
5061,Baltoy,Yanma,Yanma
5062,Cherubi,Scyther,Scyther
5063,Bulbasaur,Wingull,Bulbasaur
5064,Honedge,Zigzagoon,Zigzagoon
5065,Shinx,Tyrunt,Tyrunt
5066,Bronzor,Drifloon,Drifloon
5067,Goldeen,Mewtwo,Mewtwo
5068,Misdreavus,Purrloin,Misdreavus
5069,Groudon,Tepig,Groudon
5070,Petilil,Latios,Latios
5071,Sandile,Eevee,Sandile
5072,Helioptile,Bellsprout,Helioptile
5073,Shuppet,Tropius,Tropius
5074,Misdreavus,Joltik,Misdreavus
5075,Nosepass,Lotad,Lotad
5076,Moltres,Starly,Moltres
5077,Virizion,Tirtouga,Virizion
5078,Clauncher,Yveltal,Yveltal
5079,Cryogonal,Wurmple,Cryogonal
5080,Venipede,Electrike,Electrike
5081,Buneary,Kyurem,Kyurem
5082,Slugma,Pansage,Pansage
5083,Virizion,Mienfoo,Virizion
5084,Corphish,Chatot,Chatot
5085,Darumaka,Kyogre,Kyogre
5086,Klefki,Koffing,Klefki
5087,Lapras,Phanpy,Lapras
5088,Tyrogue,Hawlucha,Hawlucha
5089,Nincada,Teddiursa,Teddiursa
5090,Phione,Elgyem,Phione
5091,Terrakion,Palkia,Terrakion
5092,Rayquaza,Articuno,Rayquaza
5093,Rufflet,Stunfisk,Rufflet
5094,Carbink,Dunsparce,Carbink
5095,Slakoth,Litleo,Litleo
5096,Swinub,Shelmet,Swinub
5097,Stunky,Doduo,Doduo
5098,Shuckle,Pidgey,Pidgey
5099,Cresselia,Rattata,Cresselia
5100,Shuckle,Deino,Deino
5101,Chingling,Lileep,Chingling
5102,Pidgey,Lugia,Lugia
5103,Bouffalant,Krabby,Bouffalant
5104,Bunnelby,Mew,Mew
5105,Fletchling,Scraggy,Fletchling
5106,Seedot,Shinx,Shinx
5107,Blitzle,Combee,Blitzle
5108,Cottonee,Tyrogue,Cottonee
5109,Shroomish,Seviper,Seviper
5110,Patrat,Froakie,Froakie
5111,Oshawott,Ho-oh,Ho-oh
5112,Gastly,Bronzor,Gastly
5113,Doduo,Stunky,Doduo
5114,Regigigas,Hoothoot,Regigigas
5115,Absol,Lapras,Absol
5116,Solrock,Budew,Solrock
5117,Illumise,Smeargle,Illumise
5118,Bulbasaur,Carnivine,Carnivine
5119,Roggenrola,Palkia,Palkia
5120,Pineco,Volbeat,Volbeat
5121,Solosis,Seedot,Seedot
5122,Tauros,Swablu,Tauros
5123,Numel,Terrakion,Terrakion
5124,Zubat,Regice,Zubat
5125,Finneon,Spiritomb,Finneon
5126,Paras,Snorunt,Snorunt
5127,Durant,Froakie,Durant
5128,Remoraid,Finneon,Finneon
5129,Skarmory,Mawile,Skarmory
5130,Qwilfish,Meditite,Qwilfish
5131,Vanillite,Axew,Axew
5132,Zangoose,Krabby,Zangoose
5133,Starly,Krabby,Starly
5134,Hawlucha,Yamask,Yamask
5135,Kyurem,Seviper,Kyurem
5136,Aipom,Bellsprout,Aipom
5137,Totodile,Pidove,Pidove
5138,Virizion,Minun,Virizion
5139,Tyrogue,Kecleon,Kecleon
5140,Teddiursa,Cacnea,Teddiursa
5141,Noibat,Petilil,Noibat
5142,Joltik,Corsola,Joltik
5143,Slugma,Kricketot,Kricketot
5144,Spritzee,Hawlucha,Hawlucha
5145,Audino,Corsola,Audino
5146,Treecko,Plusle,Plusle
5147,Sentret,Machop,Machop
5148,Slugma,Darumaka,Darumaka
5149,Foongus,Magikarp,Foongus
5150,Igglybuff,Cobalion,Cobalion
5151,Helioptile,Torchic,Helioptile
5152,Wynaut,Piplup,Piplup
5153,Bidoof,Wooper,Bidoof
5154,Cleffa,Kyogre,Kyogre
5155,Swirlix,Karrablast,Karrablast
5156,Caterpie,Raikou,Raikou
5157,Whismur,Torkoal,Whismur
5158,Zorua,Phione,Phione
5159,Scraggy,Feebas,Scraggy
5160,Bellsprout,Solrock,Solrock
5161,Bidoof,Ferroseed,Bidoof
5162,Dwebble,Krabby,Dwebble
5163,Hippopotas,Omanyte,Omanyte
5164,Voltorb,Druddigon,Druddigon
5165,Emolga,Poochyena,Emolga
5166,Sentret,Igglybuff,Sentret
5167,Roggenrola,Pidove,Pidove
5168,Shieldon,Seviper,Seviper
5169,Blitzle,Gothita,Blitzle
5170,Horsea,Snubbull,Horsea
5171,Phantump,Hoppip,Hoppip
5172,Igglybuff,Sneasel,Sneasel
5173,Gastly,Elgyem,Gastly
5174,Ducklett,Krabby,Ducklett
5175,Pineco,Chespin,Chespin
5176,Carbink,Cryogonal,Cryogonal
5177,Bunnelby,Surskit,Surskit
5178,Seedot,Wailmer,Wailmer
5179,Skitty,Vanillite,Skitty
5180,Qwilfish,Magby,Qwilfish
5181,Elgyem,Drilbur,Drilbur
5182,Zigzagoon,Mienfoo,Mienfoo
5183,Barboach,Meditite,Meditite
5184,Kecleon,Nosepass,Kecleon
5185,Bergmite,Gothita,Gothita
5186,Bergmite,Geodude,Bergmite
5187,Gothita,Palkia,Palkia
5188,Wurmple,Lugia,Lugia
5189,Igglybuff,Wurmple,Wurmple
5190,Rotom,Cryogonal,Cryogonal
5191,Helioptile,Genesect,Genesect
5192,Tyrogue,Skorupi,Skorupi
5193,Skiddo,Trapinch,Skiddo
5194,Aerodactyl,Durant,Aerodactyl
5195,Beldum,Corsola,Corsola
5196,Buneary,Shinx,Buneary
5197,Corphish,Snover,Snover
5198,Patrat,Pawniard,Pawniard
5199,Cherubi,Dedenne,Dedenne
5200,Tentacool,Tympole,Tentacool
5201,Gligar,Regigigas,Regigigas
5202,Zorua,Cresselia,Zorua
5203,Pachirisu,Houndour,Pachirisu
5204,Bellsprout,Aron,Bellsprout
5205,Axew,Swablu,Axew
5206,Heatmor,Charmander,Charmander
5207,Cubchoo,Victini,Victini
5208,Oddish,Venonat,Venonat
5209,Bronzor,Shuckle,Bronzor
5210,Phione,Pichu,Phione
5211,Lileep,Igglybuff,Lileep
5212,Doduo,Regirock,Doduo
5213,Cottonee,Registeel,Cottonee
5214,Ekans,Exeggcute,Ekans
5215,Dialga,Swinub,Dialga
5216,Alomomola,Electrike,Electrike
5217,Duskull,Zigzagoon,Zigzagoon
5218,Starly,Staryu,Staryu
5219,Delibird,Mudkip,Delibird
5220,Cubone,Croagunk,Croagunk
5221,Pidove,Buneary,Buneary
5222,Audino,Sigilyph,Sigilyph
5223,Zorua,Chatot,Chatot
5224,Tirtouga,Mareep,Mareep
5225,Heracross,Victini,Victini
5226,Sandile,Regirock,Sandile
5227,Electrike,Budew,Electrike
5228,Cacnea,Squirtle,Squirtle
5229,Drifloon,Gastly,Gastly
5230,Azurill,Tympole,Tympole
5231,Aerodactyl,Reshiram,Aerodactyl
5232,Lotad,Drifloon,Drifloon
5233,Buizel,Pichu,Buizel
5234,Latios,Buneary,Latios
5235,Cacnea,Buizel,Cacnea
5236,Terrakion,Cottonee,Terrakion
5237,Buneary,Virizion,Virizion
5238,Helioptile,Sunkern,Helioptile
5239,Carnivine,Mew,Mew
5240,Venonat,Turtwig,Venonat
5241,Litwick,Spinda,Spinda
5242,Seviper,Palkia,Palkia
5243,Emolga,Beldum,Emolga
5244,Squirtle,Minccino,Minccino
5245,Smoochum,Honedge,Honedge
5246,Paras,Skiddo,Skiddo
5247,Woobat,Skitty,Woobat
5248,Chespin,Surskit,Surskit
5249,Trubbish,Espurr,Espurr
5250,Ekans,Gastly,Gastly
5251,Chimchar,Deino,Chimchar
5252,Woobat,Bronzor,Woobat
5253,Petilil,Wingull,Petilil
5254,Porygon,Spearow,Spearow
5255,Seedot,Relicanth,Relicanth
5256,Kricketot,Minccino,Minccino
5257,Shelmet,Skarmory,Skarmory
5258,Tympole,Minun,Minun
5259,Dratini,Goldeen,Goldeen
5260,Azurill,Exeggcute,Exeggcute
5261,Delibird,Bergmite,Delibird
5262,Plusle,Golett,Golett
5263,Carvanha,Druddigon,Carvanha
5264,Cobalion,Dratini,Cobalion
5265,Mankey,Finneon,Mankey
5266,Bidoof,Magby,Magby
5267,Chimchar,Mesprit,Mesprit
5268,Gligar,Shroomish,Gligar
5269,Cleffa,Lapras,Lapras
5270,Trapinch,Blitzle,Trapinch
5271,Gible,Panpour,Panpour
5272,Pansear,Darkrai,Darkrai
5273,Kangaskhan,Croagunk,Kangaskhan
5274,Kyurem,Litleo,Kyurem
5275,Carvanha,Trapinch,Carvanha
5276,Tyrogue,Phione,Phione
5277,Meditite,Mewtwo,Mewtwo
5278,Buizel,Inkay,Buizel
5279,Spiritomb,Vullaby,Vullaby
5280,Sentret,Karrablast,Karrablast
5281,Cubchoo,Tauros,Tauros
5282,Solrock,Mawile,Solrock
5283,Exeggcute,Tirtouga,Exeggcute
5284,Sableye,Surskit,Surskit
5285,Noibat,Kecleon,Noibat
5286,Dedenne,Sableye,Dedenne
5287,Tyrunt,Lapras,Lapras
5288,Wingull,Nosepass,Wingull
5289,Illumise,Krabby,Illumise
5290,Tentacool,Mudkip,Tentacool
5291,Sentret,Cubchoo,Cubchoo
5292,Houndour,Dialga,Dialga
5293,Magby,Plusle,Plusle
5294,Klink,Petilil,Petilil
5295,Horsea,Cubchoo,Horsea
5296,Aron,Doduo,Aron
5297,Registeel,Drifloon,Drifloon
5298,Feebas,Chimchar,Feebas
5299,Electrike,Gligar,Gligar
5300,Tangela,Pansage,Pansage
5301,Smeargle,Shuppet,Shuppet
5302,Sunkern,Cleffa,Sunkern
5303,Murkrow,Lapras,Murkrow
5304,Luvdisc,Phione,Luvdisc
5305,Totodile,Sentret,Totodile
5306,Ho-oh,Zubat,Ho-oh
5307,Shieldon,Cobalion,Cobalion
5308,Kabuto,Slakoth,Kabuto
5309,Bunnelby,Machop,Bunnelby
5310,Oddish,Kyogre,Kyogre
5311,Froakie,Gible,Froakie
5312,Clamperl,Inkay,Inkay
5313,Finneon,Igglybuff,Finneon
5314,Gible,Lotad,Gible
5315,Petilil,Baltoy,Baltoy
5316,Shinx,Skitty,Skitty
5317,Cottonee,Growlithe,Cottonee
5318,Inkay,Woobat,Inkay
5319,Glameow,Terrakion,Terrakion
5320,Entei,Doduo,Entei
5321,Trapinch,Krabby,Krabby
5322,Alomomola,Panpour,Alomomola
5323,Goomy,Moltres,Moltres
5324,Heatran,Zubat,Heatran
5325,Porygon,Pinsir,Pinsir
5326,Latias,Ralts,Latias
5327,Togepi,Karrablast,Karrablast
5328,Shuckle,Seel,Seel
5329,Kyogre,Skarmory,Kyogre
5330,Ledyba,Buneary,Buneary
5331,Spiritomb,Terrakion,Terrakion
5332,Luvdisc,Suicune,Luvdisc
5333,Spinarak,Carvanha,Carvanha
5334,Geodude,Spinda,Spinda
5335,Chatot,Torkoal,Chatot
5336,Helioptile,Pancham,Helioptile
5337,Druddigon,Togepi,Togepi
5338,Tyrogue,Reshiram,Reshiram
5339,Duskull,Meditite,Duskull
5340,Buizel,Seviper,Buizel
5341,Scraggy,Deino,Scraggy
5342,Wooper,Tyrogue,Tyrogue
5343,Pansear,Pidgey,Pansear
5344,Froakie,Dialga,Dialga
5345,Machop,Cranidos,Cranidos
5346,Jirachi,Aipom,Jirachi
5347,Taillow,Archen,Taillow
5348,Joltik,Emolga,Emolga
5349,Durant,Lickitung,Durant
5350,Anorith,Virizion,Virizion
5351,Totodile,Wooper,Totodile
5352,Larvesta,Wooper,Larvesta
5353,Vulpix,Golett,Golett
5354,Mareep,Trubbish,Trubbish
5355,Clauncher,Klefki,Klefki
5356,Bellsprout,Oshawott,Oshawott
5357,Virizion,Tirtouga,Virizion
5358,Krabby,Manaphy,Manaphy
5359,Minccino,Stunfisk,Minccino
5360,Makuhita,Dunsparce,Dunsparce
5361,Bergmite,Shinx,Shinx
5362,Articuno,Scraggy,Articuno
5363,Rufflet,Tyrogue,Rufflet
5364,Ho-oh,Abra,Abra
5365,Throh,Qwilfish,Qwilfish
5366,Roggenrola,Ekans,Roggenrola
5367,Solosis,Relicanth,Relicanth
5368,Feebas,Snivy,Snivy
5369,Charmander,Oddish,Charmander
5370,Sneasel,Golett,Sneasel
5371,Zubat,Torchic,Zubat
5372,Stantler,Espurr,Stantler
5373,Spinarak,Paras,Spinarak
5374,Suicune,Sneasel,Sneasel
5375,Snivy,Minccino,Minccino
5376,Elekid,Happiny,Elekid
5377,Kyogre,Gulpin,Kyogre
5378,Celebi,Ponyta,Celebi
5379,Buneary,Seel,Buneary
5380,Audino,Snorunt,Snorunt
5381,Zapdos,Cryogonal,Cryogonal
5382,Hoppip,Staryu,Staryu
5383,Blitzle,Relicanth,Blitzle
5384,Girafarig,Totodile,Girafarig
5385,Snivy,Genesect,Genesect
5386,Kyogre,Groudon,Groudon
5387,Azurill,Omanyte,Omanyte
5388,Heatran,Stunky,Heatran
5389,Squirtle,Phantump,Squirtle
5390,Makuhita,Minun,Minun
5391,Snover,Tirtouga,Snover
5392,Oddish,Aerodactyl,Aerodactyl
5393,Kangaskhan,Shinx,Kangaskhan
5394,Drowzee,Combee,Combee
5395,Murkrow,Vullaby,Murkrow
5396,Zangoose,Rhyhorn,Zangoose
5397,Trapinch,Lotad,Trapinch
5398,Torkoal,Murkrow,Murkrow
5399,Staryu,Skitty,Staryu
5400,Minccino,Shelmet,Minccino
5401,Goldeen,Baltoy,Goldeen
5402,Raikou,Slowpoke,Raikou
5403,Dedenne,Mienfoo,Dedenne
5404,Plusle,Pidgey,Plusle
5405,Volbeat,Chespin,Volbeat
5406,Cherubi,Machop,Machop
5407,Totodile,Pansear,Pansear
5408,Pachirisu,Ledyba,Pachirisu
5409,Bunnelby,Tirtouga,Tirtouga
5410,Moltres,Espurr,Moltres
5411,Bidoof,Horsea,Horsea
5412,Shroomish,Gastly,Gastly
5413,Caterpie,Deino,Caterpie
5414,Torkoal,Mantyke,Torkoal
5415,Remoraid,Vanillite,Remoraid
5416,Wailmer,Taillow,Taillow
5417,Voltorb,Manaphy,Manaphy
5418,Hawlucha,Spritzee,Hawlucha
5419,Natu,Finneon,Natu
5420,Tropius,Glameow,Glameow
5421,Bouffalant,Girafarig,Girafarig
5422,Rotom,Bergmite,Bergmite
5423,Gligar,Elekid,Elekid
5424,Pichu,Tentacool,Tentacool
5425,Nosepass,Tynamo,Tynamo
5426,Golett,Teddiursa,Teddiursa
5427,Vullaby,Ralts,Vullaby
5428,Luvdisc,Sneasel,Sneasel
5429,Volcanion,Inkay,Volcanion
5430,Chingling,Cottonee,Cottonee
5431,Totodile,Castform,Castform
5432,Magikarp,Mienfoo,Mienfoo
5433,Natu,Scyther,Scyther
5434,Skitty,Squirtle,Skitty
5435,Seedot,Paras,Seedot
5436,Sneasel,Phantump,Sneasel
5437,Honedge,Qwilfish,Qwilfish
5438,Venonat,Gulpin,Venonat
5439,Ferroseed,Slugma,Slugma
5440,Minun,Mantyke,Minun
5441,Celebi,Pawniard,Pawniard
5442,Amaura,Tympole,Tympole
5443,Druddigon,Spiritomb,Druddigon
5444,Onix,Piplup,Onix
5445,Slugma,Kecleon,Kecleon
5446,Tauros,Plusle,Tauros
5447,Electrike,Minccino,Minccino
5448,Aerodactyl,Corphish,Aerodactyl
5449,Minun,Wooper,Minun
5450,Murkrow,Chimchar,Murkrow
5451,Fletchling,Skitty,Fletchling
5452,Tympole,Reshiram,Reshiram
5453,Magikarp,Sneasel,Sneasel
5454,Wurmple,Azurill,Azurill
5455,Chikorita,Kyurem,Kyurem
5456,Pidove,Trapinch,Trapinch
5457,Croagunk,Swinub,Swinub
5458,Tropius,Victini,Victini
5459,Durant,Munna,Durant
5460,Omanyte,Zubat,Zubat
5461,Skiddo,Aron,Skiddo
5462,Ho-oh,Amaura,Ho-oh
5463,Shieldon,Cleffa,Shieldon
5464,Pansage,Spinda,Pansage
5465,Gligar,Munchlax,Munchlax
5466,Smeargle,Bidoof,Smeargle
5467,Moltres,Panpour,Moltres
5468,Misdreavus,Sawk,Sawk
5469,Cottonee,Pidove,Cottonee
5470,Zangoose,Jirachi,Jirachi
5471,Gastly,Doduo,Doduo
5472,Skiddo,Meowth,Meowth
5473,Buizel,Yveltal,Yveltal
5474,Lileep,Corsola,Corsola
5475,Wooper,Dratini,Dratini
5476,Terrakion,Dialga,Terrakion
5477,Venipede,Yanma,Yanma
5478,Eevee,Shroomish,Eevee
5479,Bouffalant,Spoink,Spoink
5480,Entei,Smeargle,Entei
5481,Bagon,Jirachi,Jirachi
5482,Zigzagoon,Roggenrola,Roggenrola
5483,Larvitar,Meditite,Meditite
5484,Torkoal,Terrakion,Terrakion
5485,Skrelp,Trapinch,Trapinch
5486,Venonat,Yveltal,Yveltal
5487,Zorua,Growlithe,Zorua
5488,Minccino,Sunkern,Minccino
5489,Barboach,Sawk,Sawk
